dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,A375,C3802,C0206735
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,A375,C3802,C0206735
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,A375,C3802,C0206735
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,A375,C3802,C0206735
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,A375,C3802,C0206735
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,A375,C3802,C0206735
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,A375,C3802,C0206735
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,A375,C3802,C0206735
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,A375,C3802,C0206735
MK-1775,CHEMBL1976040,915019-65-7,CHEMBL1879463,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,915019-65-7,CHEMBL1879463,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,915019-65-7,CHEMBL1879463,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,915019-65-7,CHEMBL1879463,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
MK-1775,CHEMBL1976040,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,HT29,C4349,C0338106
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,HT29,C4349,C0338106
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,HT29,C4349,C0338106
gemcitabine,CHEMBL888,MK-1775,CHEMBL1976040,HT29,C4349,C0338106
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
